Name,Glass,Garnish,How to make,Contents,Ratios,Gentle / Boozy,Sweet / Dry Sour,Calories,Calories2,Alcohol percentage,Alcohol percentage2,Popularity,Category,URL
All Fall Down,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Bebo Coffee Liqueur', 'Patrón Reposado tequila', 'Navy rum (54.5% alc./vol.)']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,1,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/44/index.html
All White Frappé,Old-fashioned glass,"['Lemon', 'zest', 'twist']",BLEND ingredients with 6oz scoop of crushed ice. Pour into glass and serve with short straws.,"['Sambuca', 'Dutch Cacao white crème de cacao', 'Giffard Menthe Pastille white crème de menthe', 'Lemon juice (freshly squeezed)']","['1 shot', '1 shot', '1 shot', '1 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,1,,https://www.diffordsguide.com/cocktails/recipe/45/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/46/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/47/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/48/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/49/index.html
Almond Cocktail,Martini glass,"['Sink', 'three', 'almonds']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Lemon juice (freshly squeezed)', 'Giffard Orgeat Syrup', 'Apple juice (cloudy & unsweetened)', 'Peach bitters (optional)']","['2 shot', '1⁄2 shot', '1⁄2 shot', '1 shot', '2 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,198 calories,,16.21,,9,,https://www.diffordsguide.com/cocktails/recipe/50/index.html
Almond Martini,Martini glass,"['Sink', 'three', 'almonds']",STIR all ingredients with ice and strain into chilled glass.,"['Ketel One Vodka', 'Disaronno amaretto', 'Dry vermouth', ""Bob's Vanilla bitters"", 'Chilled water']","['2 shot', '3⁄4 shot', '1⁄4 shot', '4 drop', '1⁄3 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,6,,,,26.63,12,Martini-style,https://www.diffordsguide.com/cocktails/recipe/51/index.html
Almond Old Fashioned (tequila based),Old-fashioned glass,"['Orange', 'zest', 'twist']",STIR all ingredients with ice and strain into ice-filled glass (preferably over a chunk of block ice).,"['Patrón Reposado tequila', 'Disaronno amaretto', 'Agave syrup', 'Orange Bitters by Angostura']","['2 shot', '1⁄4 shot', '1⁄6 shot', '2 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,6,177 calories,,30.45,,121,Short & stirred,https://www.diffordsguide.com/cocktails/recipe/52/index.html
Amaretto Sour,Old-fashioned glass,"['Spray', 'aromatic', 'bitters', 'over', 'foaming', 'cocktail', 'from', 'atomiser', 'and', 'then', 'garnish', 'with', 'lemon', '&', 'cherry', 'sail', '(lemon', 'slice', '&', 'Luxardo', 'Maraschino', 'cherry', 'on', 'stick)']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"['Disaronno amaretto', 'Lemon juice (freshly squeezed)', 'Angostura Aromatic Bitters', 'Pasteurised egg white (or aquafaba)']","['2 shot', '1 shot', '1 dash', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",3,5,234 calories,,12.97,,201,Contemporary classic,https://www.diffordsguide.com/cocktails/recipe/53/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/54/index.html
Amber,Collins glass,"['Dust', 'with', 'grated', 'nutmeg', '&', 'apple', 'wedge']","MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and strain into glass filled with crushed ice.","['Root ginger (thumbnail-sized slice)', 'Bison grass vodka', 'Apple juice (cloudy & unsweetened)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Apple Schnapps liqueur']","['4 slice', '1 1⁄2 shot', '4 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,1,Modern,https://www.diffordsguide.com/cocktails/recipe/55/index.html
Ambrosia,Flute glass,['None'],"SHAKE first 4 ingredients with ice and strain into glass, TOP with champagne.","['Rémy Martin 1738 Cognac', 'Calvados & straight applejacks', 'De Kuyper Triple Sec (40%)', 'Lemon juice (freshly squeezed)', 'Brut champagne or sparkling wine']","['1 shot', '1 shot', '1⁄4 shot', '1⁄4 shot', 'Top up with', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,Cocktails & Mixed Drinks,8,Champagne,https://www.diffordsguide.com/cocktails/recipe/56/index.html
Ambrosia Cocktail,Coupe glass,"['Dust', 'with', 'grated', 'nutmeg']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rémy Martin 1738 Cognac', 'Licor 43 Original liqueur', 'Yellow Chartreuse liqueur', 'Warninks Advocaat liqueur']","['2⁄3 shot', '5⁄6 shot', '5⁄12 shot', '1 2⁄3 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,5,,277 calories,,22.02,22,Herbal,https://www.diffordsguide.com/cocktails/recipe/57/index.html
American Beauty (by David Embury),Coupe glass,"['Float', 'mint', 'leaf', 'or', 'red', 'rose', 'petal']",SHAKE first 5 ingredients with CRUSHED ICE and fine strain into chilled glass. FLOAT red wine on surface of cocktail.,"['Rémy Martin 1738 Cognac', 'Dry vermouth', 'Giffard Menthe Pastille white crème de menthe', 'Orange juice (freshly squeezed)', 'Giffard Grenadine syrup', 'Claret red wine']","['2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄6 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,6,,,,,11,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/58/index.html
