Name,Glass,Garnish,How to make,Contents,Ratios,Gentle / Boozy,Sweet / Dry Sour,Calories,Calories2,Alcohol percentage,Alcohol percentage2,Popularity,Category,URL
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/0/index.html
Abacaxi Ricaço,Pineapple shell (frozen) glass,"['Cut', 'a', 'straw', 'sized', 'hole', 'in', 'the', 'top', 'of', 'the', 'pineapple', 'shell', '&', 'replace', 'it', 'as', 'a', 'lid']","Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (½ inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells).","['Pineapple (fresh)', 'Gold rum (1-3 years old mellow light)', 'Lime juice (freshly squeezed)', 'White caster sugar']","['1 whole', '3 shot', '3⁄4 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,25.67,6,Frozen (blended),https://www.diffordsguide.com/cocktails/recipe/1/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/2/index.html
Abbey,Coupe glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Lillet Blanc (or other aromatized wine)', 'Orange juice (freshly squeezed)', 'Angostura Aromatic Bitters']","['1 1⁄2 shot', '3⁄4 shot', '3⁄4 shot', '2 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,7,,133 calories,,20.97,27,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/3/index.html
A.B.C. Cocktail,Nick & Nora glass,"['Lemon', 'zest', 'twist', '&', 'Luxardo', 'Maraschino', 'cherry']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Mint leaves', 'Tawny port', 'Rémy Martin 1738 Cognac', 'Luxardo Maraschino liqueur', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['7 fresh', '1 shot', '1 shot', '1⁄4 shot', '1⁄6 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,5,,,,,11,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/4/index.html
Absinthe Cocktail,Coupe glass,"['Mint', 'leaf']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['La Fée Parisienne absinthe', 'Chilled water', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '2 1⁄2 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,7,,,,14.62,14,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/5/index.html
Absinthe Frappé,Old-fashioned glass,"['Mint', 'sprigs', 'bouquet']",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with a straw.,"['La Fée Parisienne absinthe', 'Anisette liqueur', 'Chilled water', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '1⁄3 shot', '1 shot', '1⁄6 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,5,,,,,3,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/6/index.html
Absinthe Sour,Old-fashioned glass,"['Lemon', 'zest', 'twist', '&', 'Luxardo', 'Maraschino', 'Cherry']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"['La Fée Parisienne absinthe', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Lemon juice (freshly squeezed)', 'Pasteurised egg white (or aquafaba)', ""Peychaud's or other Creole-style bitters (optional)""]","['5⁄6 shot', '1⁄3 shot', '1⁄2 shot', '1⁄2 shot', '2 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,6,,142 calories,,21.2,17,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/7/index.html
Absinthe Suisesse,Old-fashioned glass,"['Mint', 'sprig']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"['La Fée Parisienne absinthe', 'Giffard Orgeat Syrup', 'Pasteurised egg white (or aquafaba)', 'Single cream / half-and-half']","['1 1⁄2 shot', '1⁄2 shot', '1 shot', '1 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,298 calories,,20.56,,3,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/8/index.html
Absinthe Without Leave,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Pisang Ambon green banana liqueur', 'Irish cream liqueur', 'La Fée Parisienne absinthe']","['3⁄4 shot', '3⁄4 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/9/index.html
Absolutely Fabulous,Flute glass,['Strawberry'],SHAKE first two ingredients with ice and strain into glass. TOP with champagne.,"['Ketel One Vodka', 'Cranberry juice (sweetened)', 'Brut champagne or sparkling wine']","['1 shot', '1 1⁄2 shot', '1 1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,6,,117 calories,,11.69,9,Champagne,https://www.diffordsguide.com/cocktails/recipe/10/index.html
Acapulco,Collins glass,"['Pineapple', 'wedge']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Patrón Reposado tequila', 'Gold rum (1-3 years old mellow light)', 'Pink grapefruit juice (freshly squeezed)', 'Pineapple juice (fresh pressed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '1 shot', '1 shot', '2 shot', '1⁄3 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,6,,,,,11,Long drinks & highballs,https://www.diffordsguide.com/cocktails/recipe/11/index.html
Acapulco Daiquiri,Coupe glass,"['Lime', 'wedge']","DRY SHAKE (without ice) all ingredients to emulsify. Add ice, SHAKE again and fine strain into chilled glass.","['Light white rum (charcoal-filtered 1-4 years old)', 'De Kuyper Triple Sec (40%)', 'Lemon juice (freshly squeezed)', 'Lime cordial (sweetened lime juice)', 'Pasteurised egg white (or aquafaba)']","['1 1⁄2 shot', '1⁄2 shot', '3⁄4 shot', '3⁄4 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,18,,https://www.diffordsguide.com/cocktails/recipe/12/index.html
Ace,Coupe glass,"['Luxardo', 'Maraschino', 'cherry']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"['Rutte Dry Gin', 'Giffard Grenadine syrup', 'Single cream / half-and-half', 'Pasteurised egg white (or aquafaba)']","['1 2⁄3 shot', '1⁄2 shot', '1 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",5,5,,,,,34,Creamy,https://www.diffordsguide.com/cocktails/recipe/13/index.html
Ace Of Clubs Daiquiri,Coupe glass,"['Dust', 'with', 'chocolate', 'powder']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Gold rum (1-3 years old mellow light)', 'Dutch Cacao white crème de cacao', 'Lime juice (freshly squeezed)', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['2 shot', '1⁄2 shot', '1⁄2 shot', '1⁄6 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,6,,190 calories,,23.43,27,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/14/index.html
Achilles Heel,Collins glass,"['Apple', 'slice']",SHAKE all ingredients with ice and strain into ice-filled glass.,"['Bison grass vodka', 'Giffard Framboise de Ronce (raspberry liqueur)', 'Peachtree peach schnapps', 'Apple juice (cloudy & unsweetened)', 'Lemon juice (freshly squeezed)']","['2 shot', '1⁄4 shot', '1⁄4 shot', '2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",6,6,,212 calories,,14.44,13,Long drinks & highballs,https://www.diffordsguide.com/cocktails/recipe/15/index.html
Adam & Eve,Old-fashioned glass,"['Lemon', 'zest', 'twist']",STIR all ingredients with ice and strain into ice-filled glass (preferably over a large cube or chunk of block ice).,"['Bourbon whiskey', ""Galliano L'Autentico liqueur"", ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Angostura Aromatic Bitters']","['2 shot', '1⁄2 shot', '1⁄4 shot', '3 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",9,5,,,,,19,Herbal,https://www.diffordsguide.com/cocktails/recipe/16/index.html
Adios,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"['Bebo Coffee Liqueur', 'Patrón Reposado tequila']","['3⁄4 shot', '3⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,2,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/17/index.html
Adonis,Coupe glass,"['Skewered', 'olive', '(optional', 'orange', 'zest', 'twist', 'expressed', '&', 'discarded)']",THROW (or STIR) all ingredients with ice and strain into chilled glass.,"['Palo cortado sherry', 'Amontillado sherry', 'Rosso/rouge (sweet) vermouth', 'Italian red bitter liqueur']","['1 shot', '1 shot', '1 shot', '1⁄12 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",3,6,111 calories,,14.32,,32,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/18/index.html
Affinity,Coupe glass,"['Lemon', 'zest', 'twist']",STIR all ingredients with ice and strain into chilled glass.,"['Blended Scotch whisky', 'Vermouth amaro', 'Dry vermouth', 'Angostura Aromatic Bitters']","['1 shot', '1 shot', '1 shot', '1 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,48,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/19/index.html
After Eight,Shot glass,['None'],SHAKE all ingredients with ice and fine strain into chilled glass.,"['Ketel One Vodka', 'Dutch Cacao white crème de cacao', 'Giffard Peppermint Pastille crème de menthe']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",5,2,,,,,4,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/20/index.html
After Six Shot,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,"['Bebo Coffee Liqueur', 'Giffard Menthe Pastille white crème de menthe', 'Irish cream liqueur']","['1⁄2 shot', '1⁄2 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,2,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/21/index.html
Afterburner,Snifter glass,['None'],"POUR all ingredients into glass, swirl to mix, Flambé and then extinguish flame. Please take care and beware of hot glass rim.","['Giffard Menthe Pastille white crème de menthe', 'White overproof rum', 'Bebo Coffee Liqueur']","['1 shot', '1⁄2 shot', '1 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,Cocktails & Mixed Drinks,,2,,https://www.diffordsguide.com/cocktails/recipe/22/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/23/index.html
